iter	Passed	Remaining
0	29	29726
1	32	16310
2	34	11477
3	36	9142
4	38	7731
5	40	6746
6	42	5985
7	43	5419
8	45	4981
9	46	4635
10	48	4332
11	50	4121
12	52	3953
13	53	3786
14	55	3628
15	56	3497
16	58	3375
17	59	3261
18	61	3156
19	62	3065
20	65	3032
21	66	2974
22	70	2976
23	71	2913
24	73	2850
25	74	2792
26	78	2817
27	79	2764
28	81	2719
29	82	2675
30	84	2636
31	86	2603
32	87	2567
33	88	2528
34	90	2500
35	92	2475
36	95	2494
37	97	2463
38	99	2460
39	102	2462
40	103	2431
41	105	2409
42	107	2386
43	109	2375
44	112	2390
45	114	2373
46	115	2348
47	119	2360
48	121	2353
49	125	2390
50	127	2379
51	131	2397
52	133	2388
53	135	2379
54	137	2357
55	138	2338
56	140	2325
57	142	2309
58	143	2291
59	147	2306
60	150	2310
61	151	2299
62	154	2292
63	156	2286
64	159	2301
65	162	2298
66	165	2302
67	167	2301
68	170	2298
69	174	2323
70	176	2314
71	178	2303
72	180	2290
73	182	2286
74	184	2278
75	186	2269
76	188	2262
77	190	2252
78	192	2247
79	194	2241
80	196	2229
81	198	2217
82	199	2204
83	203	2214
84	205	2215
85	207	2206
86	209	2201
87	212	2204
88	215	2205
89	217	2197
90	219	2190
91	221	2181
92	227	2217
93	233	2250
94	242	2308
95	246	2324
96	252	2352
97	258	2375
98	268	2445
99	274	2466
100	281	2509
101	296	2610
102	319	2780
103	340	2933
104	343	2926
105	345	2915
106	350	2927
107	359	2970
108	361	2957
109	363	2940
110	365	2923
111	366	2907
112	368	2894
113	370	2883
114	372	2867
115	383	2924
116	385	2906
117	387	2896
118	389	2884
119	391	2872
120	396	2883
121	398	2869
122	400	2855
123	402	2843
124	404	2830
125	406	2818
126	407	2802
127	409	2792
128	413	2792
129	415	2782
130	419	2780
131	420	2767
132	425	2773
133	427	2761
134	431	2765
135	433	2754
136	435	2741
137	436	2728
138	438	2715
139	440	2703
140	441	2692
141	442	2676
142	444	2663
143	446	2651
144	447	2638
145	448	2625
146	450	2614
147	452	2602
148	453	2591
149	458	2600
150	460	2591
151	464	2589
152	466	2580
153	467	2569
154	470	2562
155	471	2551
156	477	2564
157	482	2572
158	484	2562
159	486	2552
160	487	2538
161	489	2533
162	491	2522
163	493	2513
164	494	2504
165	497	2497
166	498	2487
167	500	2478
168	507	2497
169	509	2487
170	511	2479
171	513	2470
172	514	2461
173	516	2451
174	518	2443
175	525	2460
176	528	2458
177	530	2448
178	531	2437
179	534	2433
180	546	2473
181	550	2473
182	551	2464
183	553	2454
184	555	2445
185	556	2436
186	558	2427
187	559	2417
188	561	2407
189	562	2397
190	564	2390
191	565	2381
192	567	2371
193	568	2363
194	570	2354
195	571	2345
196	573	2336
197	574	2328
198	576	2319
199	577	2310
200	579	2302
201	580	2293
202	582	2286
203	584	2279
204	585	2272
205	587	2264
206	588	2255
207	590	2247
208	591	2240
209	593	2232
210	594	2223
211	596	2216
212	597	2208
213	598	2199
214	601	2195
215	608	2209
216	612	2211
217	615	2207
218	616	2199
219	618	2193
220	620	2187
221	622	2180
222	624	2175
223	626	2171
224	628	2163
225	629	2156
226	631	2149
227	632	2143
228	634	2136
229	636	2129
230	637	2122
231	639	2115
232	640	2107
233	641	2099
234	644	2097
235	646	2091
236	649	2091
237	654	2093
238	655	2088
239	657	2081
240	660	2079
241	661	2072
242	663	2065
243	664	2058
244	667	2055
245	674	2066
246	677	2065
247	679	2060
248	681	2054
249	687	2061
250	690	2061
251	694	2060
252	696	2056
253	698	2050
254	699	2044
255	701	2039
256	704	2035
257	708	2036
258	709	2029
259	711	2023
260	713	2020
261	715	2014
262	716	2008
263	718	2003
